Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Peptic ulcer disease,Smoker (5 year lag),Both,Both,,,,,,,"2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)","2.040
(1.684 to 2.483)"
Peptic ulcer disease,Nonsmoker (5 year lag),Both,Both,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Diabetes mellitus,Smoker (5 year lag),Both,Male,,,,,,,,,,,"1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)","1.426
(1.094 to 1.842)"
Diabetes mellitus,Nonsmoker (5 year lag),Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Diabetes mellitus,Smoker (5 year lag),Both,Female,,,,,,,,,,,"1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)","1.102
(0.953 to 1.275)"
Diabetes mellitus,Nonsmoker (5 year lag),Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Rheumatoid arthritis,Smoker (5 year lag),Both,Both,,,,,,,"1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)","1.375
(1.142 to 1.652)"
Rheumatoid arthritis,Nonsmoker (5 year lag),Both,Both,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Cataract,Smoker (5 year lag),Both,Both,,,,,,,"1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)","1.671
(1.479 to 1.875)"
Cataract,Nonsmoker (5 year lag),Both,Both,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Macular degeneration,Smoker (5 year lag),Both,Both,,,,,,,"1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)","1.911
(1.265 to 2.740)"
Macular degeneration,Nonsmoker (5 year lag),Both,Both,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Smoking (SIR approach),,,,,,,,,,,,,,,,,,,,,,,,
Lip and oral cavity cancer,SIR,Both,Male,,,,,,,,,,,"8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)","8.162
(5.617 to 11.378)"
Lip and oral cavity cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Lip and oral cavity cancer,SIR,Both,Female,,,,,,,,,,,"6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)","6.056
(4.232 to 8.541)"
Lip and oral cavity cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Nasopharynx cancer,SIR,Both,Male,,,,,,,,,,,"8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)","8.227
(5.677 to 11.505)"
Nasopharynx cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Nasopharynx cancer,SIR,Both,Female,,,,,,,,,,,"6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)","6.089
(4.288 to 8.470)"
Nasopharynx cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Oesophageal cancer,SIR,Both,Male,,,,,,,,,,,"6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)","6.676
(4.136 to 10.250)"
Oesophageal cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Oesophageal cancer,SIR,Both,Female,,,,,,,,,,,"6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)","6.357
(4.442 to 8.634)"
Oesophageal cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Stomach cancer,SIR,Both,Male,,,,,,,,,,,"1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)","1.927
(1.443 to 2.535)"
Stomach cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Stomach cancer,SIR,Both,Female,,,,,,,,,,,"1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)","1.570
(1.246 to 1.925)"
Stomach cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Colon and rectum cancer,SIR,Both,Male,,,,,,,,,,,"1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)","1.325
(1.195 to 1.471)"
Colon and rectum cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Colon and rectum cancer,SIR,Both,Female,,,,,,,,,,,"1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)","1.418
(1.278 to 1.571)"
Colon and rectum cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Pancreatic cancer,SIR,Both,Male,,,,,,,,,,,"2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)","2.506
(1.962 to 3.111)"
Pancreatic cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Pancreatic cancer,SIR,Both,Female,,,,,,,,,,,"2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)","2.098
(1.838 to 2.371)"
Pancreatic cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,SIR,Both,Male,,,,,,,"14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)","14.602
(8.528 to 23.334)"
Larynx cancer,1-SIR,Both,Male,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Larynx cancer,SIR,Both,Female,,,,,,,"135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)","135.959
(23.287 to 465.991)"
Larynx cancer,1-SIR,Both,Female,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",SIR,Both,Male,,,,,,,,,,,"22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)","22.511
(19.062 to 26.715)"
"Tracheal, bronchus, and lung cancer",1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
"Tracheal, bronchus, and lung cancer",SIR,Both,Female,,,,,,,,,,,"14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)","14.095
(13.045 to 15.359)"
"Tracheal, bronchus, and lung cancer",1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Cervical cancer,SIR,Both,Both,,,,,,,,,,,"1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)","1.679
(1.207 to 2.240)"
Cervical cancer,1-SIR,Both,Both,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Kidney cancer,SIR,Both,Male,,,,,,,,,,,"2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)","2.293
(1.677 to 3.039)"
Kidney cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Kidney cancer,SIR,Both,Female,,,,,,,,,,,"1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)","1.518
(1.204 to 1.874)"
Kidney cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Bladder cancer,SIR,Both,Male,,,,,,,,,,,"3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)","3.332
(2.364 to 4.558)"
Bladder cancer,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Bladder cancer,SIR,Both,Female,,,,,,,,,,,"2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)","2.582
(1.923 to 3.420)"
Bladder cancer,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,SIR,Both,Male,,,,,,,,,,,"2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)","2.013
(1.390 to 2.873)"
Leukaemia,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Leukaemia,SIR,Both,Female,,,,,,,,,,,"1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)","1.163
(0.894 to 1.479)"
Leukaemia,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Chronic obstructive pulmonary disease,SIR,Both,Male,,,,,,,,,,,"11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)","11.546
(8.894 to 14.932)"
Chronic obstructive pulmonary disease,1-SIR,Both,Male,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
Chronic obstructive pulmonary disease,SIR,Both,Female,,,,,,,,,,,"15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)","15.257
(13.637 to 17.152)"
Chronic obstructive pulmonary disease,1-SIR,Both,Female,,,,,,,,,,,"1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)","1.000
(1.000 to 1.000)"
